input,target
IDG,IDG
YH,YH
KD,KD
VT,VT
LPT,LPT
SPC,SPC
ID5,ID5
AT,AT
KK,KK
V16,V16
CKD,CKD
VA,VA
YH,YH
SJ,SJ
KDCNTC8,KDCNTC8
KDVT,KDVT
PAC,PAC
RSD10,CKDRSD10
YH,YH
CH,YH
PC8,C8
PC16,C16
RY,RY
BMI,BMI
COA,CO
SILIV,SILIV
MNM,MNM
ETM,ETM
ALC,ALC
HW19,HW19
HE,HF
CS,CS
BTOCNA,BTOCNA
KDGP,KDGP
CHI,IHP
MMDIMD,MMD
MOBIC75M,MOBIC75MG
MOBIC15M,MOBIC15MG
RPCQR,RPCQR
VAL,VAL
T21,T21
DWMH,DWMH
INS,INS
JIAND,JIN
BTOORX,BTOORX
T37,T37
BPMA,BPMA
SNPDTC,SNPDTC
SC200,SC200
SCP,SCP
SZ,SZ
ZS,SZ
SZ,SZ
ZS,SZ
ZS,SZ
ZS,SZ
SELECT,SELECT
CGPHP,CGPHP
RPSTM,RPSTM
KNHQ,KNHQ
DCD,DCD
T32,T32
T32,T32
T23,T23
DWGT,DWGT
HS1,HS1
NK,NK
ECX,ECX
TONEXFDV,TONEXF
ETXHL,ETXHL
VITAMINE,VITAMINE
NDONG,NKYUNGDONG
OGT100,OGT918100
SJDX,SJDX
GHT,GHT
SJED,SJED
CORE,CORE
SCPOM,SCPOM
GHT,GHT
DWVQ,DWVQ
SCP,SCP
552,552
BTOCN,BTOCN
BMS,BMS
RPENT,RPENT
DN,25
FTCRE,FTCRE
FTC300,FTC300
ZS,SZ
RPHPI,RPHPI
CAZT,CAZT
ALPHA,ALPHA
SJZ,SJZ
TAMINOL,TAMINOL
ASNKDC,ASNKDC
DW,DW
DWB10,DWB10
WK,WK
JW,JW
BRCCL,BRCCL
IDPO,IDPA
KOREAPHA,SMT50
VD5,VD5
30,DWP
SV,SV
IHPLV,IHPLV
SOKOLPW,SOKOLPW
TG120,TG120
CKD,CKD
CE,CE
HC,HC
T33,T33
KPP,KPP
TZ,TZ
RAPHAM,RAPHAM
DW,DW
HMP8,HMP8
C16,C16
RPCQM,RPCQM
RPCQP,RPCQP
DW,DW
NKDTC,NKDTC
YJS,YJS
GHA,GHA
KPA,RNP
HNE,HNE
HSC,HSC
75,75
HN,HN
EYRON,PEYRON
HM,HM
PP,PP
3CZ,3CZ
KPP,KPP
CHOAAPP,CHOAAPP
KN2,KN2
T7,T7
MSQ,SQ
HTLPR,HTLPR
KPC,NF
SL,SL
CFT,CTT
KNDS,KNDS
PP,PP
00D,DID
ACE,ACE
VTAQ,VTAQ
WK79,WK79
RZN,RZN
PHD471,PHD471
ZS,SZ
SK,SK
LSO,LSO
ZS,SZ
ZS,SZ
PHD471,PHD471
GNO,ORGANON
25263,263
SZ,SZ
LPP,LPP
LPP,LPP
KN7,KN1
KRMTHP,KRMTHP
1KAPTS,KAPTS
HMC15,HMC15
AS,AS
XR150,XR150
CTB,CTB
UT,UT
PRO,PRO
SZ,SZ
AV,AV
ECP,ECP
RPSZ,RPSZ
RNV10,RNV10
BINEXNXK,NXK
RPZSQ,RPZSQ
101,ID1
KPAC,CS
AC,AC
HEPTAVA,HEPTAVA
AJU,AJU
SEL,SEL
PHD471,PHD471
V4,V4
KDC,KDC
NVR,NVR
VSA,CH
BU,BU
YPMS,YPMS
PKCPKC,PKCPKC
BTOCDF,BTOCDF
RPHMW,RPHMW
ZMT,ZMT
CAJ,CJ
CS,CS
11DTI,DT
TOMASM,TOMAS
WALC47,WALC47
HDP,HDP
HDP,HDP
NXO,OXN
NXO,OXN
GS,GS
25,25
YH,YH
PHD471,PHD471
NVR,NVR
80,80
HGCT,HGCT
PA,PA
KS,KS
Z3,EN
CKDMODCOL,CKDMODCOL
CTH,CTH
QTG,QTG
PP,PP
HMJ,HMJ
HMC8,HMC8
NENL4S,NL4S
OKHTC,HTC
HMC9,HMC9
E120,E120
CA,CA
BORAM,BORAM
MTS,MTS
MNTKRT,MNTKRT
NL2S,NL2S
YAS,YAS
FTL,FTL
PPCC,PPCC
MTS,MTS
PP,PP
IKSU,IKSU
RPA,RPA
MTSETTP,MTSETTP
SRP,SRP
ETX,ETX
ATLM,ATLM
YJPYVX,YJPYVX
AC,AC
BORAM,BORAM
HKLG,HKLG
CTI,CTI
SI,SI
T30,T30
KN,KN
YRS,YRS
R150,R150
VAL,VAL
Q25,Q25
AG,AG
SL,T11
WPICKP,T12
YZ,YZ
WPIC,MM
AG,AG
4142,4142
DIL,DIL
HL,HL
DILA64MGSR,DILA64MGSR
MM,MM
HM,HM
SEL,SEL
KR02,KR02
S476,S476
SINIL,SINIL
FOL,FOL
HMPB,HMPB
NX32559,GSNX325
UFU5089,GSUFU50
10,M10
DWAMG,DWAMG
MERCK,MERCK
SR1000,SR1000
JICHM,JICHM
KPP,KPP
5,HMD5
RISM,RISM
MM,MM
CL,CL
MKJ,MKJ
DW5,DW5
KM,KM
KK,KK
KK,KK
KPC,JX
HWOLIET120,OLIET120
DW,DW
UT,UT
KPP,KPP
LV,LV
200,Q200
LGESM40,LGESM40
TM80,TM80
TM40,TM40
SKF40,SKE40
PARI,PAR1
40ESZ,40ESZ
CLLH,HIP
ZNC,ZNC
DW,DW
JI,JI
KPAC,DW
1Y40,IY40
1Y80,IY80
SL,A10
SJ,SJ
10,10
IDE,IDA
AD,AD
MM,MM
BCVC,BCVC
10,ID
CN,CN
SP,C16
LHOPS,OL5HDP
AC,AC
KPP,KPP
MM,MM
SK,SK
10000,10000
ID2,ID2
NGP,NGP
HW,HW
HH,HH
T5,T5
331,331
222,222
3250,80MG3250
ONOLAMR,MONOLAIR
MT4,MT4KDC
YH,YH
IT,IT
MM,MM
25HOP,OL25HDP
SP,C8
PA2,PA2
YH,YH
KDC,KDC
M05,MO5
10HOP,OL10HDP
DC120,DC120
CKD75,CKD75
LCE75,LCE75
CKD45,CKD45
BSP,BSP
CKD30,CKD30
LCE125,LCE125
FM,FM
FD,FD
BTOBTOUBP,BTOUBP
CJA,ACJ
CL,CL
DWAMQ,DWAMQ
1ETXSBT1,ETXSBT
HDP,HDP
HM4,HM4
YH,YH
CKD,CKD
BJSI,BJSI
PBKZN,PBKZN
ADCX,ADCX
G150,G150
HR15,HR15
B150,B150
TM80,TM80
DM40,DM40
HN,HN
TM40,TM40
PBT4,PBT4
DM80,DM80
PBT3,PBT3
RMLP,RMLP
375,375
SL,H21
SK,SK
SK,SK
HST,HST
HS40,HS40
WPICKI,H22
TCR,TCR
RU,DWPRU
DWPPUR,DWPRU
HM,HM
HIM,HM
SCD,SCD
2010,R20
SO20,CKDRSD20
R10,R10
R20,R20
XVD,XVD
DWP,DWP
RSLSV10,RSV10
10P,R10
RPHWT,RPHWT
CADAG,CADAG
DPC,DPCNKG
779,779
AL,BS
AL,LM
AL,BL
AL,10
PARQ,PARQ
KLV,KLV
AL,P600
F10,F10
G24HMP,G24HMP
G16HMP,G16HMP
EVHP,EVHP
HRON,HRON
DA,DA
BC,BC
MO,DW
AP,AP
LC,LC
FSN,FSN
RST,RST
ITTITT,ITTITT
KPP,KPP
SKVT,SKVT
DCVITA,DCVITA
CTPCF,CTPCF
CTPCD,CTPCD
CCSC,CCSC
ARI15,ARI15
ARIS,ARI5
ARIIO,ARI10
KD,KD
CI2,CI2
CI1,CI1
GH,GH
SSWB,SSWB
RPJDF,RPJDF
300,300
150,150
NEV,NEV
1010,1010
1020,1020
ZRP5,ZRP5
ZRP25,ZRP25
WK,WK
WK,WK
GL16,GL16
GL24,GL24
HNCP,HNCP
HMC16,HMC16
CGPPW,CGPPW
CGPOMFC,CGPOMFC
HN,HN
NH,HN
IY,IY
DW,DW
16CE,16CE
