epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.414,0.59929,2.33116,0.94891,0.65057,0.83913,0.78215,0.71063,0.40284,1.40446,0.82759,0.00331675,0.00331675,0.00331675
2,224.499,0.49311,1.08351,0.90732,0.92061,0.87315,0.96042,0.88267,0.40197,1.47197,0.82553,0.00663362,0.00663362,0.00663362
3,336.043,0.51833,0.99963,0.91797,0.87664,0.87844,0.88605,0.79911,0.45767,2.60444,0.83922,0.009934,0.009934,0.009934
4,447.793,0.53113,0.95312,0.92321,0.8767,0.91767,0.96188,0.89293,0.33827,1.86091,0.8214,0.00992575,0.00992575,0.00992575
5,560.206,0.49957,0.84687,0.91898,0.89438,0.96441,0.95717,0.87949,0.35716,1.42789,0.83263,0.009901,0.009901,0.009901
6,671.89,0.47285,0.74989,0.906,0.91511,0.9864,0.97558,0.90906,0.35794,1.39925,0.82845,0.00987625,0.00987625,0.00987625
7,783.571,0.44865,0.66855,0.89924,0.84323,0.96267,0.94942,0.90729,0.30156,1.58857,0.81254,0.0098515,0.0098515,0.0098515
8,895.663,0.43893,0.6187,0.89216,0.91762,0.98095,0.97316,0.9224,0.31867,1.46395,0.82133,0.00982675,0.00982675,0.00982675
9,1007.41,0.43648,0.56637,0.89653,0.93774,0.99862,0.96467,0.92862,0.27833,1.40759,0.807,0.009802,0.009802,0.009802
10,1119.32,0.41555,0.50383,0.88586,0.93364,0.99937,0.94358,0.90191,0.29873,1.57584,0.81092,0.00977725,0.00977725,0.00977725
11,1231.41,0.40939,0.48327,0.88488,0.93663,1,0.95655,0.92353,0.27387,1.40157,0.80202,0.0097525,0.0097525,0.0097525
12,1343.06,0.41013,0.46405,0.88239,0.89016,0.98356,0.9401,0.9046,0.27498,1.45857,0.80859,0.00972775,0.00972775,0.00972775
13,1454.73,0.39557,0.43182,0.87618,0.94553,0.99909,0.96376,0.934,0.26782,1.34006,0.80133,0.009703,0.009703,0.009703
14,1566.36,0.38959,0.41147,0.87725,0.94149,0.99334,0.95171,0.91553,0.27739,1.37041,0.80298,0.00967825,0.00967825,0.00967825
15,1677.68,0.39192,0.4012,0.88175,0.93037,0.99233,0.97241,0.93846,0.27417,1.45422,0.80485,0.0096535,0.0096535,0.0096535
