epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4061,0.71724,2.53531,0.98994,0.66948,0.85463,0.77645,0.70976,0.40448,1.41365,0.81323,0.00331675,0.00331675,0.00331675
2,72.3348,0.55384,1.22235,0.9225,0.73749,0.75622,0.79128,0.70894,0.50113,1.53878,0.84003,0.00661717,0.00661717,0.00661717
3,107.906,0.58065,1.12554,0.93309,0.75125,0.82387,0.86085,0.78336,0.42017,1.81136,0.82044,0.00988458,0.00988458,0.00988458
4,143.393,0.57426,1.05463,0.93676,0.58659,0.8495,0.76852,0.69146,0.43763,2.0628,0.83257,0.0098515,0.0098515,0.0098515
5,178.805,0.53761,0.94304,0.92929,0.84309,0.91732,0.8813,0.80075,0.41431,1.42834,0.82926,0.009802,0.009802,0.009802
6,214.262,0.52435,0.83013,0.92474,0.87205,0.92702,0.93109,0.854,0.39783,1.50381,0.82705,0.0097525,0.0097525,0.0097525
7,249.668,0.50927,0.76328,0.92194,0.88024,0.96953,0.95218,0.88373,0.37342,1.7656,0.82982,0.009703,0.009703,0.009703
8,285.032,0.48587,0.70099,0.91046,0.9305,0.95759,0.9797,0.90411,0.38648,1.49907,0.84072,0.0096535,0.0096535,0.0096535
9,320.523,0.48386,0.64161,0.91455,0.89425,0.94324,0.9709,0.8868,0.40057,1.5883,0.84298,0.009604,0.009604,0.009604
10,356.026,0.47483,0.59628,0.91209,0.87113,0.929,0.96624,0.88964,0.39661,1.34576,0.83891,0.0095545,0.0095545,0.0095545
11,391.233,0.46942,0.56857,0.90857,0.91709,0.95922,0.96224,0.89329,0.35764,1.36676,0.83858,0.009505,0.009505,0.009505
12,426.513,0.45517,0.53533,0.90664,0.88853,0.92986,0.93396,0.87371,0.35688,1.33551,0.83308,0.0094555,0.0094555,0.0094555
13,461.767,0.45547,0.50944,0.90657,0.88987,0.94226,0.95545,0.88861,0.3529,1.38607,0.83276,0.009406,0.009406,0.009406
14,497.113,0.45143,0.49525,0.90468,0.89654,0.93657,0.97407,0.92436,0.3149,1.26321,0.81727,0.0093565,0.0093565,0.0093565
15,532.515,0.44387,0.46324,0.89834,0.86052,0.97954,0.9869,0.92928,0.3291,1.42187,0.82569,0.009307,0.009307,0.009307
16,567.944,0.4362,0.46108,0.89778,0.85051,0.96764,0.93396,0.87247,0.34404,1.50559,0.8292,0.0092575,0.0092575,0.0092575
17,603.284,0.4406,0.45418,0.90304,0.94491,0.99221,0.97853,0.93295,0.31311,1.31394,0.82171,0.009208,0.009208,0.009208
